feature,importance
token_count,0.1191748080451053
digit_ratio,0.11523194994083263
https_used,0.11381533766120021
hostname_token_count,0.112605150890832
special_char_count,0.08562149024104677
digit_count,0.07932373095371434
query_length,0.06998960018071264
url_length,0.05661743027920729
url_entropy,0.04838108928017748
query_entropy,0.042804396770897334
question_mark_count,0.027648467363286446
parameter_count,0.021995052093959546
hostname_length,0.020648993406319406
suspicious_word_count,0.016797432947483648
equals_count,0.01432266863957888
hyphen_count,0.012104224444434871
has_query,0.011284903670432429
has_suspicious_tld,0.009193351207503945
letter_count,0.00566518899188134
lowercase_count,0.0037421624257697106
path_length,0.003650629694530014
avg_token_length,0.0017990957150910572
domain_entropy,0.001586184320529784
contains_account,0.0010701640070734137
keyword_density,0.0009271438274845141
dot_count,0.0008584004675797868
contains_update,0.0008263270834450486
special_char_ratio,0.0005009885996211284
contains_wallet,0.0004084355360994793
slash_count,0.00037754560708349206
max_token_length,0.0002671052626898458
contains_base64_pattern,0.00024395053426857499
path_entropy,0.0001858699920162108
is_ip,0.00016521615549955506
tld_length,5.7150094861301235e-05
character_diversity,4.0642651458252335e-05
path_segments,2.5058728947984575e-05
contains_secure,2.2263639052248578e-05
contains_verify,1.9952918674404454e-05
contains_login,4.212517147441082e-07
contains_punycode,2.44779027983865e-08
uppercase_count,0.0
uppercase_ratio,0.0
contains_hex_encoding,0.0
has_port,0.0
has_at_symbol,0.0
double_slash_redirect,0.0
subdomain_count,0.0
fragment_length,0.0
has_fragment,0.0
contains_unicode,0.0
executable_extension,0.0
is_shortened_url,0.0
ampersand_count,0.0
underscore_count,0.0
contains_banking,0.0
contains_auth,0.0
long_query_string,0.0
is_data_uri,0.0
